ULN,First Name,Last Name,Date of Birth,UKPRN,Start Date,Core code,Specialism codes
,Test,Test1,12121980,10000080,22092020,10423456,12345678
1111111112,,Test2,12121981,10000080,22092020,10423456,12345678
1111111113,Test,,12121982,10000080,22092020,10423456,12345678
1111111114,Test,Test4,,10000080,22092020,10423456,12345678
1111111115,Test,Test5,12121984,,22092020,10423456,12345678
1111111116,Test,Test6,12121985,10000080,,10423456,12345678
1111111117,Test,Test7,12121986,10000080,22092020,,12345678
1111111118,Test,Test8,12121987,10000081,22092021,10423457,
,Test,Test9,12121988,10000082,22092022,10423458,
,,,,,,,
1111111121,abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghija,Test11,12121990,10000084,22092024,10423460,12345678
1111111122,abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghij,Test12,12121991,10000085,22092025,10423461,12345678
1111111123,Test,abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghija,12121992,10000086,22092026,10423462,12345678
1111111124,Test,abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghij ,12121993,10000087,22092027,10423463,12345678
123456789,Test,Test15,12121994,10000088,22092028,10423464,12345678
12345678901,Test,Test16,12121995,10000089,22092029,10423465,12345678
1111111127,Test,Test17,12121996,10000090,22092030,10423466,123456789
1111111128,Test,Test18,12121997,10000091,22092031,10423467,1234567
1111111129,Test,Test19,1212199$,10000092,22092032,10423468,12345678
1111111130,Test,Test20,12131980,10000093,22092033,10423469,12345678
1111111131,Test,Test21,32101980,10000094,22092034,10423470,12345678
1111111231,Test,Test22,ABCD,10000024,22092034,10423470,12345678
1111111331,Test,Test22,22011980!,10000022,22092034,10423470,12345678
1111111132,Test,Test23,23062020,10000095,22092035,10423471,12345678
1111111133,Test,Test24,12122002,10000096,12131980,10423472,12345678
1111111134,Test,Test25,12122003,10000097,32101980,10423473,12345678
1111111135,Test,Test26,12122004,10000098,22092039,10423474,12345678
1111111135,Test,Test27,12122004,10000098,22092039,10423474,12345678
1111111135,Test,Test27,12122021,10000098,12132021,10423474,12345678
1111111136,Test,Test28,12032020,10000098,12032020,104234749,12345678
1111111137,Test,Test29,12022020,10000098,12022020,1042347,12345678
1111111138,abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghija,abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghija,12032020,104234749,1202202,10423473,12345678
1111111139,abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghija,abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghija,12022020,1042347,1202202,10423474,12345678
1111111140,abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghija,abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghija,12022020,10423478888,1202202,10423474,12345678


