ULN,First Name,Last Name,Date of Birth,UKPRN,Academic year,Core code,Specialism Code(s)
1111111112,Test1,Surname1,11121980,88888888,2021/22,10101010,10100002
1111111314,Test3,Surname3,13121982,88888888,2021/22,10101010,42234567
1111111315,Test3a,Surname3,13121982,88888888,2021/22,10221120,42234567
1111111316,Test3b,Surname3,13121982,88888888,2021/22,10221120,11111111
1111111115,Test4,Surname4,13121982,88888888,2021/22,12345678,27234567
1111111116,Test5,Surname5,13121982,88888888,2021/22,10101010,42234567
1111111117,Test6,Surname6,13121982,88888888,2021/22,10101010,42234567
1111111118,Test7,Surname7,13121982,88888888,2021/22,10101010,42234567
1111111119,Test8,Surname8,13121982,88888888,2021/22,10101010,42234567
1111111120,Test9,Surname9,13121982,88888888,2021/22,10101010,42234567
1111111154,Test10,Surname3,13121982,88888888,2021/22,10101010,42234567
1111111164,Test11,Surname3,13122090,88888888,2021/22,10221120,42234567
1111111154,Test12,Surname3,13121982,88888888,2021/22,10221120,11111111
1111111121,First1,Last2,12122012,88888888,2021/22,22022022,99999999
1111111122,First2,Last2,10022001,88888888,2021/22,77777777,"50000001,50000002"
