ULN,First Name,Last Name,Date of Birth,UKPRN,Academic year,Core code,Specialism code(s)
9400000001,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test1,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test1,12011981,99999902,{AcademicYear},77777777,70000002
9400000002,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test2,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test2,12011981,99999902,{AcademicYear},77777777,70000002
9400000003,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test3,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test3,12011981,99999902,{AcademicYear},77777777,70000002
9400000004,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test4,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test4,12011981,99999902,{AcademicYear},77777777,70000002
9400000005,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test5,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test5,12011981,99999902,{AcademicYear},77777777,70000002
9400000006,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test6,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test6,12011981,99999902,{AcademicYear},77777777,70000002
9400000007,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test7,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test7,12011981,99999902,{AcademicYear},77777777,70000002
9400000008,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test8,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test8,12011981,99999902,{AcademicYear},77777777,70000002
9400000009,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test9,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test9,12011981,99999902,{AcademicYear},77777777,70000002
9400000010,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test10,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test10,12011981,99999902,{AcademicYear},77777777,70000002
9400000011,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test11,K10-123456789012345678901234567890123456789012345678901234567890123456789-Test11,12011981,99999902,{AcademicYear},77777777,70000002
