Line,ULN,Error
2,,Data in more than the required 4 columns
3,,ULN required
4,12345678901,ULN must be a 10 digit number
5,123456789,ULN must be a 10 digit number
6,1234567890,Core component code must have 8 digits only
7,1234567892,Core component code must have 8 digits only
8,1234567893,Core component code must have 8 digits only
9,2233445566,Duplicate ULN found
10,2233445566,Duplicate ULN found
11,2233555566,No data after ULN - need a core component code
12,1234123412,Core component code required when result is included
13,1234123413,Core component code required when result is included
14,1234123419,Core component code required when result is included
14,1234123419,Assessment series needs to be provided
15,1234123414,Assessment series needs to be provided
16,1234123415,Core assessment series format must be text followed by a space and a 4-digit year
17,1234123416,Core assessment series format must be text followed by a space and a 4-digit year
18,1234123417,Core assessment series format must be text followed by a space and a 4-digit year
19,1234123418,Core assessment series format must be text followed by a space and a 4-digit year
