UserName,Password,ProviderName
ao_user_app@tleveltest.com,aouserapptest,West Suffolk College
ao_user_app@tleveltest.com,aouserapptest,West Midlands UTC
ao_user_app@tleveltest.com,aouserapptest,Wigan & Leigh College
ao_user_app@tleveltest.com,aouserapptest,United Colleges Group
ao_user_app@tleveltest.com,aouserapptest,The WKCIC Group
ao_user_app@tleveltest.com,aouserapptest,SCC Group
ao_user_app@tleveltest.com,aouserapptest,Reigate College
ao_user_app@tleveltest.com,aouserapptest,Middlesbrough College
ao_user_app@tleveltest.com,aouserapptest,Leicester College
ao_user_app@tleveltest.com,aouserapptest,Lakes College
ao_user_app@tleveltest.com,aouserapptest,Leeds City College
ao_user_app@tleveltest.com,aouserapptest,LTE Group trading as The Manchester College
ao_user_app@tleveltest.com,aouserapptest,Harlow College
ao_user_app@tleveltest.com,aouserapptest,Heart of Worcestershire College
ao_user_app@tleveltest.com,aouserapptest,Gloucestershire College
ao_user_app@tleveltest.com,aouserapptest,Furness College
ao_user_app@tleveltest.com,aouserapptest,Cambridge Regional College
ao_user_app@tleveltest.com,aouserapptest,Calderdale College
ao_user_app@tleveltest.com,aouserapptest,Bury College
ao_user_app@tleveltest.com,aouserapptest,Weston College
ao_user_app@tleveltest.com,aouserapptest,Bedfordshire & Luton Education Business Partnership
ao_user_app@tleveltest.com,aouserapptest,Bridgwater & Taunton College
ao_user_app@tleveltest.com,aouserapptest,Chichester College Group
ao_user_app@tleveltest.com,aouserapptest,Cranford Community College
ao_user_app@tleveltest.com,aouserapptest,St Thomas More Catholic School
ao_user_app@tleveltest.com,aouserapptest,Strode College
ao_user_app@tleveltest.com,aouserapptest,Suffolk New College
ao_user_app@tleveltest.com,aouserapptest,The College of Richard Collyer
ao_user_app@tleveltest.com,aouserapptest,The Leigh UTC
ao_user_app@tleveltest.com,aouserapptest,Thorpe St Andrew School and Sixth Form
ao_user_app@tleveltest.com,aouserapptest,Truro and Penwith College
ao_user_app@tleveltest.com,aouserapptest,University College Birmingham
ao_user_app@tleveltest.com,aouserapptest,Ursuline High School
ao_user_app@tleveltest.com,aouserapptest,Walsall College
ao_user_app@tleveltest.com,aouserapptest,Walsall Studio School
ao_user_app@tleveltest.com,aouserapptest,Abingdon and Witney College
ao_user_app@tleveltest.com,aouserapptest,York College
ao_user_app@tleveltest.com,aouserapptest,Salesian School
ao_user_app@tleveltest.com,aouserapptest,Sandwell Academy
ao_user_app@tleveltest.com,aouserapptest,Scarborough Sixth Form College
ao_user_app@tleveltest.com,aouserapptest,Peter Symonds College
ao_user_app@tleveltest.com,aouserapptest,Painsley Catholic College
ao_user_app@tleveltest.com,aouserapptest,Oldham Sixth Form College
ao_user_app@tleveltest.com,aouserapptest,Notre Dame Catholic Sixth Form College
ao_user_app@tleveltest.com,aouserapptest,Nelson and Colne College
ao_user_app@tleveltest.com,aouserapptest,Lordswood Girls' School & Sixth Form Centre
ao_user_app@tleveltest.com,aouserapptest,La Retraite RC Girls School
ao_user_app@tleveltest.com,aouserapptest,HCUC (Harrow College and Uxbridge College)
ao_user_app@tleveltest.com,aouserapptest,Havant and South Downs College
ao_user_app@tleveltest.com,aouserapptest,Grimsby Institute of Further & Higher Education
ao_user_app@tleveltest.com,aouserapptest,Farnborough College of Technology
ao_user_app@tleveltest.com,aouserapptest,Fareham College
ao_user_app@tleveltest.com,aouserapptest,City of Stoke-on-Trent sixth Form College
ao_user_app@tleveltest.com,aouserapptest,Blackpool and The Fylde College
ao_user_app@tleveltest.com,aouserapptest,Bishop Burton College
ao_user_app@tleveltest.com,aouserapptest,Mulberry University Technical College
ao_user_app@tleveltest.com,aouserapptest,Hugh Baird College
ao_user_app@tleveltest.com,aouserapptest,Yeovil College
ao_user_app@tleveltest.com,aouserapptest,United Colleges Group
ao_user_app@tleveltest.com,aouserapptest,The WKCIC Group
ao_user_app@tleveltest.com,aouserapptest,The College of West Anglia
ao_user_app@tleveltest.com,aouserapptest,Solihull College &  University  Centre
ao_user_app@tleveltest.com,aouserapptest,Sandwell College
ao_user_app@tleveltest.com,aouserapptest,Nottingham College






